name,manufacturer,unit_of_measure,manufacturer_number,quantity,selling_price,purchase_price,max_discount,url
"Держатель троса ручного тормоза для VW Polo седан, VAG 6R0609651",VAG,шт,6R0609651,1,370.0,65.52,Не ограничена,"https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15666500&search=%D0%94%D0%B5%D1%80%D0%B6%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%20%D1%82%D1%80%D0%BE%D1%81%D0%B0%20%D1%80%D1%83%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D1%82%D0%BE%D1%80%D0%BC%D0%BE%D0%B7%D0%B0%20%D0%B4%D0%BB%D1%8F%20VW%20Polo%20%D1%81%D0%B5%D0%B4%D0%B0%D0%BD,%20VAG%206R0609651"
"Детали крепления для задних тормозных колодок 1 комплект VW Polo седан, BOSCH",Bosch,шт,1 987 475 204,2,2290.0,727.76,Не ограничена,"https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15666505&search=%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%20%D0%BA%D1%80%D0%B5%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%B4%D0%BB%D1%8F%20%D0%B7%D0%B0%D0%B4%D0%BD%D0%B8%D1%85%20%D1%82%D0%BE%D1%80%D0%BC%D0%BE%D0%B7%D0%BD%D1%8B%D1%85%20%D0%BA%D0%BE%D0%BB%D0%BE%D0%B4%D0%BE%D0%BA%201%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82%20VW%20Polo%20%D1%81%D0%B5%D0%B4%D0%B0%D0%BD,%20BOSCH"
"Детали крепления для задних тормозных колодок 1 комплект VW Polo седан, VAG",VAG,шт,6RU698545A,2,5690.0,3757.79,Не ограничена,"https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15666506&search=%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%20%D0%BA%D1%80%D0%B5%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%B4%D0%BB%D1%8F%20%D0%B7%D0%B0%D0%B4%D0%BD%D0%B8%D1%85%20%D1%82%D0%BE%D1%80%D0%BC%D0%BE%D0%B7%D0%BD%D1%8B%D1%85%20%D0%BA%D0%BE%D0%BB%D0%BE%D0%B4%D0%BE%D0%BA%201%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82%20VW%20Polo%20%D1%81%D0%B5%D0%B4%D0%B0%D0%BD,%20VAG"
"Втулка стабилизатора переднего для VW Polo седан, VAG",VAG,шт,6Q0411314P,4,1450.0,495.0,Не ограничена,"https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15666218&search=%D0%92%D1%82%D1%83%D0%BB%D0%BA%D0%B0%20%D1%81%D1%82%D0%B0%D0%B1%D0%B8%D0%BB%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D0%B0%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%D0%BD%D0%B5%D0%B3%D0%BE%20%D0%B4%D0%BB%D1%8F%20VW%20Polo%20%D1%81%D0%B5%D0%B4%D0%B0%D0%BD,%20VAG"
"Винт со скр.цил.гол.,внут.TORX WHT005227",VAG,шт,WHT005227,3,90.0,34.58,Не ограничена,"https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15666040&search=%D0%92%D0%B8%D0%BD%D1%82%20%D1%81%D0%BE%20%D1%81%D0%BA%D1%80.%D1%86%D0%B8%D0%BB.%D0%B3%D0%BE%D0%BB.,%D0%B2%D0%BD%D1%83%D1%82.TORX%20WHT005227"
Болт 12-гранный шкива коленвала CFNA,VAG,шт,N91048601,4,1080.0,575.46,Не ограничена,https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15665778&search=%D0%91%D0%BE%D0%BB%D1%82%2012-%D0%B3%D1%80%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9%20%D1%88%D0%BA%D0%B8%D0%B2%D0%B0%20%D0%BA%D0%BE%D0%BB%D0%B5%D0%BD%D0%B2%D0%B0%D0%BB%D0%B0%20CFNA
Болт 12-гранный шкива коленвала CWVA,VAG,шт,N91204401,7,1080.0,243.0,Не ограничена,https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15665794&search=%D0%91%D0%BE%D0%BB%D1%82%2012-%D0%B3%D1%80%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9%20%D1%88%D0%BA%D0%B8%D0%B2%D0%B0%20%D0%BA%D0%BE%D0%BB%D0%B5%D0%BD%D0%B2%D0%B0%D0%BB%D0%B0%20CWVA
Болт HYUNDAI /KIA SPORTAGE CTR GC0004 (замена 552603M000 ),CTR,шт,GC0004,2,480.0,372.0,Не ограничена,https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15665813&search=%D0%91%D0%BE%D0%BB%D1%82%20HYUNDAI%20%2FKIA%20SPORTAGE%20CTR%20GC0004%20(%D0%B7%D0%B0%D0%BC%D0%B5%D0%BD%D0%B0%20552603M000%20)
Болт крепления рычага,SUZUKI,шт,09135-12008,1,520.0,365.0,Не ограничена,https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=21574963&search=%D0%91%D0%BE%D0%BB%D1%82%20%D0%BA%D1%80%D0%B5%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F%20%D1%80%D1%8B%D1%87%D0%B0%D0%B3%D0%B0
Болт крепления рычага Suzuki,SUZUKI,шт,09135-12007,2,450.0,282.0,Не ограничена,https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=21574944&search=%D0%91%D0%BE%D0%BB%D1%82%20%D0%BA%D1%80%D0%B5%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F%20%D1%80%D1%8B%D1%87%D0%B0%D0%B3%D0%B0%20Suzuki
Болт крепления шрус VAG N91108201,VAG,шт,N91108201,18,280.0,35.11,Не ограничена,https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15665818&search=%D0%91%D0%BE%D0%BB%D1%82%20%D0%BA%D1%80%D0%B5%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F%20%D1%88%D1%80%D1%83%D1%81%20VAG%20N91108201
Болт М10 (для рул.рейки) VW Polo седан VAG N10469202,VAG,шт,N10469202,2,490.0,143.0,Не ограничена,https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15665803&search=%D0%91%D0%BE%D0%BB%D1%82%20%D0%9C10%20(%D0%B4%D0%BB%D1%8F%20%D1%80%D1%83%D0%BB.%D1%80%D0%B5%D0%B9%D0%BA%D0%B8)%20VW%20Polo%20%D1%81%D0%B5%D0%B4%D0%B0%D0%BD%20VAG%20N10469202
"Водяной насос, охлаждение двигателя",Metelli,шт,24-1218,3,9850.0,3113.58,Не ограничена,"https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15669130&search=%D0%92%D0%BE%D0%B4%D1%8F%D0%BD%D0%BE%D0%B9%20%D0%BD%D0%B0%D1%81%D0%BE%D1%81,%20%D0%BE%D1%85%D0%BB%D0%B0%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%B4%D0%B2%D0%B8%D0%B3%D0%B0%D1%82%D0%B5%D0%BB%D1%8F%20(%D0%BF%D0%BE%D0%BC%D0%BF%D0%B0)%20%D0%B4%D0%BB%D1%8F%20(CWVA,%20CZCA)"
"Гайка, двенадцатигранная ступицы для VW Polo седан, J+P Group",JP Group,шт,1101100300,6,440.0,176.77,Не ограничена,"https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15666301&search=%D0%93%D0%B0%D0%B9%D0%BA%D0%B0,%20%D0%B4%D0%B2%D0%B5%D0%BD%D0%B0%D0%B4%D1%86%D0%B0%D1%82%D0%B8%D0%B3%D1%80%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D1%81%D1%82%D1%83%D0%BF%D0%B8%D1%86%D1%8B%20%D0%B4%D0%BB%D1%8F%20VW%20Polo%20%D1%81%D0%B5%D0%B4%D0%B0%D0%BD,%20J%2BP%20Group"
Вентиль для бескамерных шин CLIPPER,,шт,TR414,4,50.0,23.83,Не ограничена,https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=21334342&search=%D0%92%D0%B5%D0%BD%D1%82%D0%B8%D0%BB%D1%8C%20%D0%B4%D0%BB%D1%8F%20%D0%B1%D0%B5%D1%81%D0%BA%D0%B0%D0%BC%D0%B5%D1%80%D0%BD%D1%8B%D1%85%20%D1%88%D0%B8%D0%BD%20CLIPPER
"Блок управления вентилятором для VW Polo седан, VIKA 99191545301",,шт,99191545301,1,1350.0,960.86,Не ограничена,"https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=17357625&search=%D0%91%D0%BB%D0%BE%D0%BA%20%D1%83%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%B2%D0%B5%D0%BD%D1%82%D0%B8%D0%BB%D1%8F%D1%82%D0%BE%D1%80%D0%BE%D0%BC%20%D0%B4%D0%BB%D1%8F%20VW%20Polo%20%D1%81%D0%B5%D0%B4%D0%B0%D0%BD,%20VIKA%2099191545301"
